@relation health

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'RT @incarnatehealth:  Flower of Youth  exclusive facial care with collagen and elastin.  ',?
'The Healing Power of Light ~  #Health #HealthCare via @mercola',?
'&lt;em&gt;Eat Well to Be Well:&lt;/em&gt; Magnesiums magic works to minimize type 2 diabetes  #magnesium #diabetes #health',?
'Raw cacao can be a great addition to a #vegetarian diet:  #health #nutrition',?
'#DentalHygiene. Too many people are guilty of skipping needed visits to the dentist.#Dental #Dentistry #Health.',?
'Learn stress release and detox strategies for more success! Listen:  #podcast #entrepreneur #success #health cmweal\u2026',?
'More than 15 million people, including over 1m internally displaced person (IDPs), in dire need of #health services',?
'RT @NSAEN: A Child with Special Needs   #lifestyle #health #kids #autism',?
'@TIEDC2014 #Pot blocks damage from cigs&amp;booze2improve public #health. Pot is a #health shield. Watch and share:',?
'RT @_inkster_: 7 Ways #Music Benefits Your #Heart, #Brain &amp; #Health',?
'RT @Fit365_: I lost 16 lbs after just 21 days.. this simple 2 step cleanse really does wonders!\uD83D\uDC4C #health \u2026',?
'sparhiala: Just finished week 4 day 3 of #10K #Trainer with zenlabsfitness! #everymomentcounts #run #running #health #fitness',?
'80% of textiles, fabrics, clothes, linen, drapes, bed sheets, were made from hemp until the 1820s #hemp #health',?
'What is zirilen? The answer is simple. It s ...  #HEALTH',?
'Facts of Cardio Workouts on Fitness: Cardiovascular Zone  #health #fitness #cardio',?
'RT @DailyHealthTips: Parabens are the most commonly used preservatives in cosmetic products -',?
'Use these step-by-step instructions to grow your own produce for some #summer fun with your #kids:  #nutrition #health',?
'RT @NamatQA: Research study has proven that having #dates to break our #fasts is a great benefit for our #nutrition and #health!',?
'A lot of research say it, #champagne is good for your #health! (but drink moderatly)',?
'Record  fake drugs  haul worth \u00A316m by UK agency BBC News -  @MediaTha #healthcare #health',?
'\"This book [will] offend almost everyone who opens it...\" Your Personal Affordable Care Act  #health #books #aca',?
'Watch this to learn how you can maximize your #brain #health!  @BrainCanada @MyBrainMatters @CAMHnews @AlzheimerOnt',?
'RT @gary_lindberg: SAVING SAM. This book will change your mind about heart disease. And how we treat it.   #health #h\u2026',?
'RT @ElaineAlways28: Acupuncture is the stimulation of specific acupuncture points along the skin of the body using thin needles. #Health #M\u2026',?
'RT @HelenHsuPsyD: World #sicklecell day #bloodcentersofthepacific #DonateBlood ! I #giveblood since UCLA grateful blessings of #health http\u2026',?
'RT @JournalNEO: Much of mainstream medical research is corporate-funded fraud...  #Health #Vaccines #Cancer \u2026',?
'RT @PodcastBlast: Listen LIVE:  #BEST #INTERNET #SHOW #LOOKYOUNGER #HEALTH #TOXICEMOTIONS',?
'5 Quotes that Prove How Awesome Dads Are   #health #shoes',?
'RT @PanicCompanion: Claire Weekes Hope &amp; Help for Your Nerves only $6!  #health #healthy #books #read #reading #buy h\u2026',?
'RT @PodcastBlast: LIVE NOW listen! :  #BEST #INTERNET #SHOW #LOOKYOUNGER #HEALTH #TOXICEMOTIONS',?
'The Benefits of Yerba Mate  Don t wait, get your own yerba mate now  #shop #save #health',?
'He who has health, has hope; and he who has hope, has everything. #hope #health #integrated',?
'#Health #Program Weekend Housework Helps You Lose Weight Effectively  #BetterCallSaul #Fit',?
'Safer medical devices and #alcohol abuse were discussed by EU ministers for #Health today. Full info:',?
'Research study has proven that having #dates to break our #fasts is a great benefit for our #nutrition and #health!',?
